job_title,similarity_score,location,job_url
Intelligent Automation Developer - Associate,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Data+scientist&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=1c9c0b1ce55dcb36
Applied Machine Learning Scientist,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Data+scientist&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=1c9c0b1ce55dcb36
"Developer Associate- JavaScript, Java",0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=b3233aa260b21b47&vjs=3
QA Engineer  RCS,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=788e35906892ea46&vjs=3
Full Stack Staff Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=9858518a16a65863&vjs=3
"Engineer, Software",0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=93f5b039dc12c2f6&vjs=3
Backend Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=e130aa7171803d78&vjs=3
Senior Development Support Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=4e8b17f89f8c21c0&vjs=3
Senior Front End Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=392b0c35de3e917c&vjs=3
Senior Software Engineer - Dot net,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=5c16f446822a42d1&vjs=3
Ecommerce Website Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=242a1525497b6d75&vjs=3
Full stack Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=6bd8d2354aff4639&vjs=3
"Frontend Engineer, AWS QuickSight",0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=e87f8a45edaace7c&vjs=3
.NET Full Stack Developer 8years,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=7e51531f6588385e&vjs=3
Quant Analytics Manager - Offers and Shopping,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Data+scientist&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=1c9c0b1ce55dcb36
ServiceNow Developer II,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=6d9446a28f5beb19&vjs=3
Senior Software Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=23f4d9a8c5ee56c2&vjs=3
Senior Associate - Full Stack AI Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Data+scientist&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=1c9c0b1ce55dcb36
Machine Learning Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Data+scientist&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=1c9c0b1ce55dcb36
AI/ML Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Data+scientist&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=1c9c0b1ce55dcb36
Decision Scientist,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Data+scientist&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=1c9c0b1ce55dcb36
NLP Data Scientist,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Data+scientist&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=1c9c0b1ce55dcb36
AI / ML Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Data+scientist&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=1c9c0b1ce55dcb36
Senior AI/ML Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Data+scientist&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=1c9c0b1ce55dcb36
